    acc_year  dev_year  cumulative  incremental
0          1         1     41821.0      41821.0
1          1         2     76550.0      34729.0
2          1         3     96697.0      20147.0
3          1         4    112662.0      15965.0
4          1         5    123947.0      11285.0
5          1         6    129871.0       5924.0
6          1         7    134646.0       4775.0
7          1         8    138388.0       3742.0
8          1         9    141823.0       3435.0
9          1        10    144781.0       2958.0
10         2         1     48167.0      48167.0
11         2         2     87662.0      39495.0
12         2         3    112106.0      24444.0
13         2         4    130284.0      18178.0
14         2         5    141124.0      10840.0
15         2         6    148503.0       7379.0
16         2         7    154186.0       5683.0
17         2         8    158944.0       4758.0
18         2         9    162903.0       3959.0
19         3         1     52058.0      52058.0
20         3         2     99517.0      47459.0
21         3         3    126876.0      27359.0
22         3         4    144792.0      17916.0
23         3         5    156240.0      11448.0
24         3         6    165086.0       8846.0
25         3         7    170955.0       5869.0
26         3         8    176346.0       5391.0
27         4         1     57251.0      57251.0
28         4         2    106761.0      49510.0
29         4         3    133797.0      27036.0
30         4         4    154668.0      20871.0
31         4         5    168972.0      14304.0
32         4         6    179524.0      10552.0
33         4         7    187266.0       7742.0
34         5         1     59213.0      59213.0
35         5         2    113342.0      54129.0
36         5         3    142908.0      29566.0
37         5         4    165392.0      22484.0
38         5         5    179506.0      14114.0
39         5         6    189506.0      10000.0
40         6         1     59475.0      59475.0
41         6         2    111551.0      52076.0
42         6         3    138387.0      26836.0
43         6         4    160719.0      22332.0
44         6         5    175475.0      14756.0
45         7         1     65607.0      65607.0
46         7         2    110255.0      44648.0
47         7         3    137317.0      27062.0
48         7         4    159972.0      22655.0
49         8         1     56748.0      56748.0
50         8         2     96063.0      39315.0
51         8         3    122811.0      26748.0
52         9         1     52212.0      52212.0
53         9         2     92242.0      40030.0
54        10         1     43962.0      43962.0
